,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9,Mica Place 1,178,0.039803,8.72,0,178.68,4.46,200.85,5.49,216.91,22.65,10.98,23.8,86.09,19.830000000000002,6.77,785.23,,690.74,,1.0
10,Mica Place 2,178,0.039803,8.72,0,178.68,4.46,200.85,5.49,216.91,22.65,10.98,23.8,86.09,19.830000000000002,6.77,785.23,,690.74,,2.0
11,Mica Place 3,167,0.037343,8.18,0,167.63,4.18,188.42000000000002,5.15,203.53,21.25,10.31,22.33,80.77,18.6,6.35,736.7,,648.05,,3.0
12,Mica Place 4,202,0.04517,9.89,0,202.77,5.06,227.93,6.23,246.18,25.7,12.47,27.01,97.7,22.49,7.68,891.1100000000001,,783.88,,4.0
13,Mica Place 5,201,0.044946,9.84,0,201.76,5.03,226.8,6.2,244.96,25.57,12.41,26.88,97.22,22.38,7.64,886.69,,779.99,,5.0
14,Mica Place 6,202,0.04517,9.89,0,202.77,5.06,227.93,6.23,246.18,25.7,12.47,27.01,97.7,22.49,7.68,891.1100000000001,,783.88,,6.0
15,Mica Place 7,202,0.04517,9.89,0,202.77,5.06,227.93,6.23,246.18,25.7,12.47,27.01,97.7,22.49,7.68,891.1100000000001,,783.88,,7.0
16,Mica Place 8,170,0.038014,8.33,0,170.64,4.26,191.82,5.25,207.18,21.63,10.49,22.73,82.21,18.93,6.47,749.94,,659.69,,8.0
17,Mica Place 9,171,0.038238,8.37,0,171.65,4.28,192.95,5.28,208.4,21.76,10.55,22.87,82.71,19.04,6.5,754.3599999999999,,663.58,,9.0
18,Mica Place 10,174,0.038909,8.52,0,174.66,4.36,196.33,5.37,212.05,22.14,10.74,23.27,84.17,19.38,6.61,767.5999999999999,,675.23,,10.0
19,Mica Place 11,171,0.038238,8.37,0,171.65,4.28,192.95,5.28,208.4,21.76,10.55,22.87,82.71,19.04,6.5,754.3599999999999,,663.58,,11.0
20,Mica Place 12,174,0.038909,8.52,0,174.66,4.36,196.33,5.37,212.05,22.14,10.74,23.27,84.17,19.38,6.61,767.5999999999999,,675.23,,12.0
21,Mica Place 13,170,0.038014,8.33,0,170.64,4.26,191.82,5.25,207.18,21.63,10.49,22.73,82.21,18.93,6.47,749.94,,659.69,,13.0
22,Mica Place 14,169,0.037791,8.28,0,169.64,4.23,190.69,5.22,205.96,21.5,10.43,22.6,81.75,18.82,6.42,745.54,,655.83,,14.0
23,Mica Place 15,173,0.038685,8.47,0,173.65,4.33,195.2,5.34,210.84,22.01,10.68,23.13,83.68,19.27,6.58,763.18,,671.34,,15.0
24,Mica Place 16,172,0.038462,8.42,0,172.66,4.31,194.08,5.31,209.62,21.88,10.62,23,83.19,19.15,6.54,758.7800000000001,,667.47,,16.0
25,Mica Place 17,174,0.038909,8.52,0,174.66,4.36,196.33,5.37,212.05,22.14,10.74,23.27,84.17,19.38,6.61,767.5999999999999,,675.23,,17.0
26,Mica Place 18,174,0.038909,8.52,0,174.66,4.36,196.33,5.37,212.05,22.14,10.74,23.27,84.17,19.38,6.61,767.5999999999999,,675.23,,18.0
27,Mica Place 19,179,0.040027,8.77,0,179.68,4.48,201.98,5.52,218.15,22.78,11.040000000000001,23.94,86.58,19.93,6.8,789.6499999999999,,694.63,,19.0
28,Mica Place 20,179,0.040027,8.77,0,179.68,4.48,201.98,5.52,218.15,22.78,11.040000000000001,23.94,86.58,19.93,6.8,789.6499999999999,,694.63,,20.0
29,Mica Place 21,184,0.041145,9.01,0,184.7,4.61,207.62,5.68,224.24,23.41,11.36,24.6,89,20.49,6.99,811.71,,714.03,,21.0
30,Mica Place 22,178,0.039803,8.72,0,178.68,4.46,200.85,5.49,216.91,22.65,10.98,23.8,86.09,19.830000000000002,6.77,785.23,,690.74,,22.0
31,Mica Place 23,172,0.038462,8.42,0,172.66,4.31,194.08,5.31,209.62,21.88,10.62,23,83.19,19.15,6.54,758.7800000000001,,667.47,,23.0
32,Mica Place 24,172,0.038462,8.42,0,172.66,4.31,194.08,5.31,209.62,21.88,10.62,23,83.19,19.15,6.54,758.7800000000001,,667.47,,24.0
33,Mica Place 25,186,0.041592,9.11,0,186.71,4.66,209.87,5.74,226.68,23.67,11.48,24.87,89.96,20.71,7.07,820.5300000000001,,721.79,,25.0
